iter	Passed	Remaining
1052	63987	239847
1053	64063	239844
1054	64129	239801
1055	64194	239755
1056	64259	239710
1057	64326	239675
1058	64359	239510
1059	64423	239461
1060	64492	239431
1061	64568	239425
1062	64639	239404
1063	64703	239356
1064	64772	239323
1065	64842	239297
1066	64915	239280
1067	64983	239247
1068	65050	239207
1069	65115	239162
1070	65175	239099
1071	65245	239071
1072	65318	239053
1073	65389	239032
1074	65455	238989
1075	65520	238943
1076	65593	238927
1077	65658	238878
1078	65722	238830
1079	65793	238804
1080	65857	238755
1081	65939	238772
1082	66009	238742
1083	66086	238742
1084	66166	238747
1085	66236	238720
1086	66305	238686
1087	66374	238654
1088	66438	238604
1089	66503	238557
1090	66573	238529
1091	66634	238467
1092	66702	238432
1093	66765	238378
1094	66842	238374
1095	66912	238345
1096	66970	238273
1097	67035	238227
1098	67102	238187
1099	67166	238134
1100	67229	238083
1101	67300	238055
1102	67371	238030
1103	67441	238000
1104	67502	237939
1105	67568	237894
1106	67643	237882
1107	67716	237862
1108	67789	237844
1109	67858	237812
1110	67936	237808
1111	68012	237800
1112	68094	237810
1113	68156	237751
1114	68226	237723
1115	68296	237690
1116	68370	237673
1117	68443	237652
1118	68509	237610
1119	68579	237577
1120	68649	237548
1121	68717	237509
1122	68800	237524
1123	68869	237489
1124	68944	237476
1125	69014	237443
1126	69097	237457
1127	69175	237454
1128	69250	237439
1129	69316	237392
1130	69392	237381
1131	69460	237344
1132	69525	237294
1133	69596	237267
1134	69666	237235
1135	69730	237180
1136	69796	237134
1137	69857	237073
1138	69935	237070
1139	70000	237019
1140	70073	236995
1141	70139	236950
1142	70206	236907
1143	70276	236874
1144	70337	236812
1145	70410	236790
1146	70474	236737
1147	70542	236697
1148	70609	236655
1149	70674	236604
1150	70740	236560
1151	70810	236525
1152	70877	236483
1153	70953	236469
1154	71018	236422
1155	71078	236352
1156	71149	236324
1157	71222	236302
1158	71301	236297
1159	71378	236286
1160	71437	236218
1161	71506	236180
1162	71574	236138
1163	71640	236092
1164	71696	236012
1165	71754	235941
1166	71824	235907
1167	71888	235854
1168	71955	235808
1169	72017	235750
1170	72083	235702
1171	72158	235684
1172	72225	235640
1173	72290	235589
1174	72362	235563
1175	72428	235516
1176	72502	235493
1177	72572	235461
1178	72649	235448
1179	72727	235441
1180	72797	235404
1181	72865	235364
1182	72932	235321
1183	73001	235283
1184	73065	235229
1185	73134	235189
1186	73200	235142
1187	73270	235108
1188	73338	235065
1189	73420	235069
1190	73487	235025
1191	73548	234960
1192	73614	234912
1193	73688	234890
1194	73768	234885
1195	73841	234859
1196	73910	234822
1197	73984	234799
1198	74062	234788
1199	74141	234782
1200	74215	234759
1201	74285	234722
1202	74371	234736
1203	74443	234707
1204	74532	234729
1205	74606	234708
1206	74678	234677
1207	74749	234644
1208	74822	234618
1209	74894	234585
1210	74966	234557
1211	75036	234518
1212	75101	234469
1213	75181	234461
1214	75250	234421
1215	75319	234381
1216	75388	234341
1217	75457	234301
1218	75531	234276
1219	75598	234231
1220	75667	234190
1221	75736	234151
1222	75804	234106
1223	75873	234066
1224	75945	234035
1225	76016	234001
1226	76083	233954
1227	76146	233897
1228	76216	233857
1229	76289	233828
1230	76357	233785
1231	76426	233746
1232	76493	233699
1233	76570	233683
1234	76644	233658
1235	76719	233633
1236	76793	233607
1237	76865	233575
1238	76938	233548
1239	77006	233503
1240	77076	233463
1241	77133	233389
1242	77206	233360
1243	77273	233312
1244	77337	233255
1245	77403	233204
1246	77465	233140
1247	77556	233166
1248	77665	233243
1249	77764	233293
1250	77847	233294
1251	77938	233317
1252	78042	233380
1253	78147	233445
1254	78250	233505
1255	78331	233499
1256	78406	233473
1257	78495	233488
1258	78604	233565
1259	78725	233678
1260	78809	233677
1261	78883	233651
1262	78952	233605
1263	79021	233564
1264	79094	233531
1265	79176	233525
1266	79255	233511
1267	79326	233474
1268	79398	233438
1269	79465	233391
1270	79543	233372
1271	79617	233345
1272	79689	233307
1273	79764	233283
1274	79843	233267
1275	79922	233254
1276	79999	233232
1277	80074	233204
1278	80145	233166
1279	80210	233111
1280	80282	233075
1281	80350	233028
1282	80414	232970
1283	80480	232917
1284	80546	232863
1285	80598	232771
1286	80671	232738
1287	80734	232675
1288	80809	232649
1289	80889	232635
1290	80961	232598
1291	81030	232553
1292	81102	232517
1293	81168	232466
1294	81240	232430
1295	81309	232384
1296	81371	232320
1297	81466	232349
1298	81543	232327
1299	81626	232321
1300	81704	232303
1301	81787	232297
1302	81875	232305
1303	81968	232327
1304	82076	232391
1305	82239	232612
1306	82334	232640
1307	82432	232675
1308	82513	232663
1309	82616	232712
1310	82718	232759
1311	82805	232764
1312	82881	232736
1313	82949	232688
1314	83028	232669
1315	83090	232603
1316	83154	232542
1317	83228	232509
1318	83295	232455
1319	83360	232399
1320	83424	232338
1321	83492	232289
1322	83560	232238
1323	83633	232203
1324	83707	232169
1325	83780	232132
1326	83852	232093
1327	83916	232033
1328	83984	231985
1329	84051	231931
1330	84121	231887
1331	84189	231837
1332	84251	231771
1333	84319	231721
1334	84392	231683
1335	84464	231644
1336	84531	231593
1337	84608	231567
1338	84675	231513
1339	84748	231476
1340	84815	231423
1341	84885	231378
1342	84958	231342
1343	85036	231319
1344	85111	231288
1345	85182	231244
1346	85255	231208
1347	85320	231150
1348	85389	231101
1349	85452	231038
1350	85528	231009
1351	85605	230984
1352	85685	230965
1353	85767	230951
1354	85846	230930
1355	85919	230893
1356	85984	230833
1357	86056	230793
1358	86143	230792
1359	86213	230748
1360	86289	230717
1361	86365	230689
1362	86437	230648
1363	86510	230610
1364	86590	230590
1365	86657	230537
1366	86720	230470
1367	86784	230410
1368	86850	230353
1369	86918	230301
1370	86983	230243
1371	87051	230190
1372	87112	230120
1373	87185	230082
1374	87265	230063
1375	87339	230028
1376	87399	229955
1377	87466	229901
1378	87531	229840
1379	87592	229771
1380	87666	229734
1381	87733	229680
1382	87799	229625
1383	87860	229554
1384	87933	229517
1385	88010	229486
1386	88086	229456
1387	88166	229435
1388	88222	229352
1389	88289	229297
1390	88348	229222
1391	88411	229159
1392	88476	229098
1393	88539	229034
1394	88604	228973
1395	88669	228914
1396	88732	228849
1397	88797	228790
1398	88862	228730
1399	88928	228672
1400	88994	228616
1401	89063	228567
1402	89134	228521
1403	89209	228487
1404	89289	228466
